TE;NP;NU;Код об’єкта Кодифікатора;Категорія об’єкта Кодифікатора;Назва об’єкта Кодифікатора
0722880712;С;ЦЕПЕРІВ;UA07080030240095196;С;Цеперів
0722881500;;ВОЮТИНСЬКА/С.ВОЮТИН;UA07080270000067148;Н;Торчинська
0722881501;С;ВОЮТИН;UA07080270070053114;С;Воютин
0722881503;С;ГАТЬ;UA07080270080091084;С;Гать
0722881504;С;ТЕРТКИ;UA07080270200068924;С;Тертки
0722881505;С;ЧОРНИЙ ЛІС;UA07080270240032196;С;Чорний Ліс
0722881600;;ГІРКОПОЛОНКІВСЬКА/С.ГІРКА ПОЛОНКА;UA07080030000051738;Н;Боратинська
0722881601;С;ГІРКА ПОЛОНКА;UA07080030060066317;С;Гірка Полонка
0722881602;С;ОЗДІВ;UA07080030150083686;С;Оздів
0722881603;С;ПОЛОНКА;UA07080030170058169;С;Полонка
0722881604;С;ВІКТОРЯНИ;UA07080030050086603;С;Вікторяни
0722881605;С;ЛАВРІВ;UA07080030110036443;С;Лаврів
0722881606;С;РАТНІВ;UA07080030200050466;С;Ратнів
0722881700;;ГОРОДИЩЕНСЬКА/С.ГОРОДИЩЕ;UA07080050000014573;Н;Городищенська
0722881701;С;ГОРОДИЩЕ;UA07080050010088654;С;Городище
0722881703;С;ГРИГОРОВИЧІ;UA07080050050033067;С;Григоровичі
0722881705;С;МАРТИНІВКА;UA07080050110037640;С;Мартинівка
0722881800;;ЗАБОРОЛЬСЬКА/С.ЗАБОРОЛЬ;UA07080170000013585;Н;Луцька
0722881801;С;ЗАБОРОЛЬ;UA07080170150074310;С;Забороль
0722881802;С;АНТОНІВКА;UA07080170030058914;С;Антонівка
0722881803;С;ВЕЛИКИЙ ОМЕЛЯНИК;UA07080170080072461;С;Великий Омеляник
0722881804;С;ВСЕВОЛОДІВКА;UA07080170090013021;С;Всеволодівка
0722881805;С;ОЛЕКСАНДРІВКА;UA07080170290064215;С;Олександрівка
0722881806;С;БОГОЛЮБИ;UA07080170040044783;С;Боголюби
0722881807;С;БОГУШІВКА;UA07080170050075537;С;Богушівка
0722881808;С;ГОРОДОК;UA07080170100056581;С;Городок
0722881809;С;ЗАБОЛОТЦІ;UA07080170140066569;С;Заболотці
0722881810;С;ОДЕРАДИ;UA07080170260086751;С;Одеради
0722881811;С;ОХОТИН;UA07080170300045638;С;Охотин
0722881812;С;СЬОМАКИ;UA07080170340056373;С;Сьомаки
0722881813;С;ТАРАСОВЕ;UA07080170350049478;С;Тарасове
0722881814;С;ШЕПЕЛЬ;UA07080170360024786;С;Шепель
0722882900;;КОРШІВСЬКА/С.КОРШІВ;UA07080030000051738;Н;Боратинська
0722882901;С;КОРШІВ;UA07080030090072138;С;Коршів
0722883400;;ЛИПИНСЬКА/С.ЛИПИНИ;UA07080230000046097;Н;Підгайцівська
0722883401;С;ЛИПИНИ;UA07080230120023252;С;Липини
0722883700;;КНЯГИНИНІВСЬКА/С.КНЯГИНИНОК;UA07080170000013585;Н;Луцька
0722883701;С;КНЯГИНИНОК;UA07080170190043722;С;Княгининок
0722883702;С;БУКІВ;UA07080170070036259;С;Буків
0722883703;С;ЗМІЇНЕЦЬ;UA07080170160079877;С;Зміїнець
0722883704;С;МИЛУШИН;UA07080170220010262;С;Милушин
0722883705;С;МИЛУШІ;UA07080170230026091;С;Милуші
0722883706;С;МОТАШІВКА;UA07080170240051576;С;Моташівка
0722883707;С;СИРНИКИ;UA07080170330030221;С;Сирники
0722884000;;НЕСВІЧІВСЬКА/С.НЕСВІЧ;UA07080050000014573;Н;Городищенська
0722884001;С;НЕСВІЧ;UA07080050150011857;С;Несвіч
0722884800;;ПІДГАЙЦІВСЬКА/С.ПІДГАЙЦІ;UA07080230000046097;Н;Підгайцівська
0722884801;С;ПІДГАЙЦІ;UA07080230010097610;С;Підгайці
0722884802;С;КРУПА;UA07080230110067820;С;Крупа
0722884803;С;СТРУМІВКА;UA07080230190052111;С;Струмівка
0722884804;С;ВОРОТНІВ;UA07080230070096375;С;Воротнів
0722884805;С;ЛИЩЕ;UA07080230130037231;С;Лище
0722885000;;ПІДДУБЦІВСЬКА/С.ПІДДУБЦІ;UA07080230000046097;Н;Підгайцівська
0722885001;С;ПІДДУБЦІ;UA07080230170099344;С;Піддубці
0722885002;С;ГАРАЗДЖА;UA07080230080098238;С;Гаразджа
0722885200;;РАДОМИШЛЬСЬКА/С.РАДОМИШЛЬ;UA07080030000051738;Н;Боратинська
0722885201;С;РАДОМИШЛЬ;UA07080030190051433;С;Радомишль
0722885203;С;РОМАНІВКА;UA07080030220015212;С;Романівка
0722885204;С;СУХОВОЛЯ;UA07080030230031411;С;Суховоля
0722885600;;РОМАНІВСЬКА/С.РОМАНІВ;UA07080230000046097;Н;Підгайцівська
0722885601;С;РОМАНІВ;UA07080230180043679;С;Романів
0722885602;С;БОТИН;UA07080230030093498;С;Ботин
0722885603;С;ВЕРХІВКА;UA07080230040024392;С;Верхівка
0722885604;С;НОВОКОТІВ;UA07080230140049382;С;Новокотів
0722886200;;СМОЛИГІВСЬКА/С.СМОЛИГІВ;UA07080270000067148;Н;Торчинська
0722886201;С;СМОЛИГІВ;UA07080270190069652;С;Смолигів
0722886202;С;ДУБИЧАНСЬКЕ;UA07080270110050899;С;Дубичанське
0722886203;С;САРНІВКА;UA07080270170053283;С;Сарнівка
0722886204;С;БАРВІНОК;UA07080270020075370;С;Барвінок
0722886205;С;МИХАЙЛІВКА;UA07080270140016094;С;Михайлівка
0722886206;С;ХОРОХОРИН;UA07080270230018801;С;Хорохорин
0722886800;;ЧАРУКІВСЬКА/С.ЧАРУКІВ;UA07080050000014573;Н;Городищенська
0722886801;С;ЧАРУКІВ;UA07080050190054548;С;Чаруків
0722886802;С;ВИГУРИЧІ;UA07080050040028600;С;Вигуричі
0723100000;;ЛЮБЕШІВСЬКИЙ РАЙОН/СМТ ЛЮБЕШІВ;UA07040000000026412;Р;Камінь-Каширський
0723155000;;СЕЛИЩА МІСЬКОГО ТИПУ ЛЮБЕШІВСЬКОГО Р-НУ;UA07040000000026412;Р;Камінь-Каширський
0723155100;Т;ЛЮБЕШІВ;UA07040030010024333;T;Любешів
0723155101;С;БЕРЕЗИЧІ;UA07040030020055142;С;Березичі
0723155102;С;ЗАРІКА;UA07040030190039088;С;Заріка
0723155103;С;БЕРЕЗНА ВОЛЯ;UA07040030030065413;С;Березна Воля
0723155104;С;БИХІВ;UA07040030040083897;С;Бихів
0723155105;С;РУДКА;UA07040030320068384;С;Рудка
0723155106;С;БІРКИ;UA07040030050054782;С;Бірки
0723155107;С;БУЧИН;UA07040030060022832;С;Бучин
0723155108;С;ВЕЛИКИЙ КУРІНЬ;UA07040030070048892;С;Великий Курінь
0723155109;С;ВЕТЛИ;UA07040030080096945;С;Ветли
0723155110;С;ВИТУЛЕ;UA07040030090091150;С;Витуле
0723155111;С;ВІЛ;UA07040030100070986;С;Віл
0723155112;С;В'ЯЗІВНЕ;UA07040030110054145;С;В’язівне
0723155113;С;ГІРКИ;UA07040030120098610;С;Гірки
0723155114;С;ДЕРЕВОК;UA07040030140067032;С;Деревок
0723155115;С;ДІБРОВА;UA07040030150074323;С;Діброва
0723155116;С;ЗАЛАЗЗЯ;UA07040030170021296;С;Залаззя
0723155117;С;ЗАЛІЗНИЦЯ;UA07040030180028234;С;Залізниця
0723155118;С;ЗАРУДЧІ;UA07040030200025127;С;Зарудчі
0723155119;С;ЛАХВИЧІ;UA07040030210058805;С;Лахвичі
0723155120;С;ЛОБНА;UA07040030220050440;С;Лобна
0723155121;С;ЛЮБЕШІВСЬКА ВОЛЯ;UA07040030230059543;С;Любешівська Воля
0723155122;С;ЛЮБОТИН;UA07040030240081600;С;Люботин
0723155123;С;МІЖГАЙЦІ;UA07040030260066190;С;Міжгайці
0723155124;С;МУКОШИН;UA07040030270087199;С;Мукошин
0723155125;С;НОВІ БЕРЕЗИЧІ;UA07040030280036881;С;Нові Березичі
0723155126;С;ПІДКОРМІЛЛЯ;UA07040030290022197;С;Підкормілля
0723155127;С;ПОЖОГ;UA07040030300033264;С;Пожог
0723155128;С;ПРОХОДИ;UA07040030310048852;С;Проходи
0723155129;С;СВАЛОВИЧІ;UA07040030330084958;С;Сваловичі
0723155130;С;СЕДЛИЩЕ;UA07040030340083614;С;Седлище
0723155131;С;СЕЛІСОК;UA07040030350041532;С;Селісок
0723155132;С;СУДЧЕ;UA07040030360013531;С;Судче
0723155133;С;УГРИНИЧІ;UA07040030370018169;С;Угриничі
0723155134;С;ХОЦУНЬ;UA07040030380048033;С;Хоцунь
0723155135;С;ХУТОМИР;UA07040030390034803;С;Хутомир
0723155136;С;ЦИР;UA07040030400043212;С;Цир
0723180000;;СІЛЬРАДИ ЛЮБЕШІВСЬКОГО Р-НУ;UA07040000000026412;Р;Камінь-Каширський
0723182600;;ВЕЛИКОГЛУШАНСЬКА/С.ВЕЛИКА ГЛУША;UA07040010000033507;Н;Камінь-Каширська
0723182601;С;ВЕЛИКА ГЛУША;UA07040010050077394;С;Велика Глуша
0723182602;С;НЕВІР;UA07040010340037551;С;Невір
0723182603;С;ПОГУЛЯНКА;UA07040010450018573;С;Погулянка
0723184800;;ДОЛЬСЬКА/С.ДОЛЬСЬК;UA07040030000028082;Н;Любешівська
0723184801;С;ДОЛЬСЬК;UA07040030160027917;С;Дольськ
0723184802;С;ГРЕЧИЩА;UA07040030130053774;С;Гречища
0723184803;С;ШЛАПАНЬ;UA07040030410045349;С;Шлапань
0723186400;;ЛЮБ'ЯЗІВСЬКА/С.ЛЮБ'ЯЗЬ;UA07040030000028082;Н;Любешівська
0723186401;С;ЛЮБ'ЯЗЬ;UA07040030250055328;С;Люб’язь
0723186600;;МАЛОГЛУШАНСЬКА/С.МАЛА ГЛУША;UA07040010000033507;Н;Камінь-Каширська
0723186601;С;МАЛА ГЛУША;UA07040010280020724;С;Мала Глуша
0723186607;С;КАЛИВИЦЯ;UA07040010230015705;С;Каливиця
0723189200;;ЩИТИНСЬКА/С.ЩИТИНЬ;UA07040010000033507;Н;Камінь-Каширська
0723189201;С;ЩИТИНЬ;UA07040010540014794;С;Щитинь
0723300000;;ЛЮБОМЛЬСЬКИЙ РАЙОН/М.ЛЮБОМЛЬ;UA07060000000092268;Р;Ковельський
0723310000;;МІСТА РАЙОННОГО ПІДПОРЯДКУВАННЯ ЛЮБОМЛЬСЬКОГО Р-НУ;UA07060000000092268;Р;Ковельський
0723310100;М;ЛЮБОМЛЬ;UA07060270010018151;M;Любомль
0723310101;С;БІРКИ;UA07060270020085603;С;Бірки
0723310102;С;БОРЕМЩИНА;UA07060270030069999;С;Боремщина
0723310103;С;ВИГНАНКА;UA07060270040082250;С;Вигнанка
0723310104;С;ВІЛЬКА-ПІДГОРОДНЕНСЬКА;UA07060270050097431;С;Вілька-Підгородненська
0723310105;С;ГОРОДНЄ;UA07060270060088467;С;Городнє
0723310106;С;ЗАПІЛЛЯ;UA07060270070059322;С;Запілля
0723310107;С;ЗАСТАВ'Є;UA07060270080077970;С;Застав’є
0723310108;С;КРАСНОВОЛЯ;UA07060270090072610;С;Красноволя
0723310109;С;КУСНИЩА;UA07060270100063952;С;Куснища
0723310110;С;ЛИСНЯКИ;UA07060270110025554;С;Лисняки
0723310111;С;ПІДГОРОДНЕ;UA07060270120016033;С;Підгородне
0723310112;С;ПОЧАПИ;UA07060270130066544;С;Почапи
0723310113;С;СКИБИ;UA07060270140099433;С;Скиби
0723310114;С;ЧОРНОПЛЕСИ;UA07060270150054791;С;Чорноплеси
0723355000;;СЕЛИЩА МІСЬКОГО ТИПУ ЛЮБОМЛЬСЬКОГО Р-НУ;UA07060000000092268;Р;Ковельський
0723355300;Т;ГОЛОВНЕ;UA07060090010039037;T;Головне
0723355301;С;МАСЛОВЕЦЬ;UA07060090080054520;С;Масловець
0723355302;С;ГУМЕНЦІ;UA07060090020021324;С;Гуменці
0723355303;С;СКРИПИЦЯ;UA07060090120048680;С;Скрипиця
0723355304;С;ЗАБОЛОТТЯ;UA07060090040018360;С;Заболоття
0723355305;С;ЯСНЕ;UA07060090140016750;С;Ясне
0723355306;С;КРУШИНЕЦЬ;UA07060090070016966;С;Крушинець
0723355307;С;МШАНЕЦЬ;UA07060090090026242;С;Мшанець
0723355308;С;НУДИЖЕ;UA07060090100021385;С;Нудиже
0723355309;С;ЧЕРЕМОШНА ВОЛЯ;UA07060090130033694;С;Черемошна Воля
0723380000;;СІЛЬРАДИ ЛЮБОМЛЬСЬКОГО Р-НУ;UA07060000000092268;Р;Ковельський
0723380400;;ВИШНІВСЬКА/С.ВИШНІВ;UA07060050000091514;Н;Вишнівська
0723380401;С;ВИШНІВ;UA07060050010010463;С;Вишнів
0723380402;С;БАБАЦІ;UA07060050020065753;С;Бабаці
0723380403;С;БЕРЕЖЦІ;UA07060050030079440;С;Бережці
0723380404;С;КОЦЮРИ;UA07060050080058476;С;Коцюри
0723380405;С;ВИЖГІВ;UA07060050040032300;С;Вижгів
0723380406;С;ВИСОЦЬК;UA07060050050087797;С;Висоцьк
0723380407;С;ГЛИНЯНКА;UA07060050060035146;С;Глинянка
0723380408;С;ЗАМЛИННЯ;UA07060050070018648;С;Замлиння
0723380409;С;ЛАДИНЬ;UA07060050090030510;С;Ладинь
0723380410;С;МАШІВ;UA07060050100034448;С;Машів
0723380411;С;МОСИР;UA07060050110094150;С;Мосир
0723380412;С;ОЛЕСЬК;UA07060050120041002;С;Олеськ
0723380413;С;ПРИРІЧЧЯ;UA07060050130091969;С;Приріччя
0723380414;С;ПУСТИНКА;UA07060050140044342;С;Пустинка
0723380415;С;РАДЕХІВ;UA07060050150094378;С;Радехів
0723380416;С;РИМАЧІ;UA07060050160077009;С;Римачі
0723380417;С;ТЕРЕХИ;UA07060050180057147;С;Терехи
0723380418;С;ЧМИКОС;UA07060050200061179;С;Чмикос
0723380419;С;ШТУНЬ;UA07060050210099256;С;Штунь
0723381900;;ЗАЧЕРНЕЦЬКА/С.ЗАЧЕРНЕЧЧЯ;UA07060390000098670;Н;Смідинська
0723381901;С;ЗАЧЕРНЕЧЧЯ;UA07060390050017321;С;Зачернеччя
0723381902;С;БІЛИЧІ;UA07060390020081925;С;Біличі
0723381903;С;ВИСОКЕ;UA07060390030077272;С;Високе
0723382200;;ЗГОРАНСЬКА/С.ЗГОРАНИ;UA07060090000026043;Н;Головненська
0723382201;С;ЗГОРАНИ;UA07060090060097319;С;Згорани
0723382202;С;ГУПАЛИ;UA07060090030041700;С;Гупали
0723382203;С;ЗАОЗЕРНЕ;UA07060090050077407;С;Заозерне
0723382204;С;СИЛЬНЕ;UA07060090110012426;С;Сильне
0723384900;;РІВНЕНСЬКА/С.РІВНЕ;UA07060330000052414;Н;Рівненська
0723384901;С;РІВНЕ;UA07060330010079204;С;Рівне
0723384902;С;БОРОВЕ;UA07060330020090033;С;Борове
0723384903;С;СТАРОВОЙТОВЕ;UA07060330160073114;С;Старовойтове
0723384904;С;БУДНИКИ;UA07060330030018926;С;Будники
0723384905;С;ВЕРБІВКА;UA07060330040045236;С;Вербівка
0723384906;С;ВИШНІВКА;UA07060330050083959;С;Вишнівка
0723384907;С;ГОРОХОВИЩЕ;UA07060330060095617;С;Гороховище
0723384908;С;ГУЩА;UA07060330070016513;С;Гуща
0723384909;С;ЗАБУЖЖЯ;UA07060330080012523;С;Забужжя
0723384910;С;ЛОКУТКИ;UA07060330090029515;С;Локутки
0723384911;С;МИЛОВАНЬ;UA07060330100020802;С;Миловань
0723384912;С;НОВОУГРУЗЬКЕ;UA07060330110057244;С;Новоугрузьке
0723384913;С;ПІДЛІССЯ;UA07060330120039030;С;Підлісся
0723384914;С;ПОЛАПИ;UA07060330130037987;С;Полапи
0723384915;С;РОГОВІ СМОЛЯРИ;UA07060330140064019;С;Рогові Смоляри
0723384916;С;СОКІЛ;UA07060330150040620;С;Сокіл
0723384917;С;СТОЛИНСЬКІ СМОЛЯРИ;UA07060330170080128;С;Столинські Смоляри
0723386500;;ХВОРОСТІВСЬКА/С.ХВОРОСТІВ;UA07060050000091514;Н;Вишнівська
0723386501;С;ХВОРОСТІВ;UA07060050190056746;С;Хворостів
0723386502;С;РУДА;UA07060050170029565;С;Руда
0723600000;;МАНЕВИЦЬКИЙ РАЙОН/СМТ МАНЕВИЧІ;Розірваний район*;;
0723655000;;СЕЛИЩА МІСЬКОГО ТИПУ МАНЕВИЦЬКОГО Р-НУ;Розірвано*;;
0723655100;Т;МАНЕВИЧІ;UA07040050010044229;T;Маневичі
0723655400;Т;КОЛКИ;UA07080130010099463;T;Колки
0723655401;С;БОРОВИЧІ;UA07080130020012387;С;Боровичі
0723655402;С;ГОДОМИЧІ;UA07080130040050029;С;Годомичі
0723655403;С;ГРУЗЯТИН;UA07080130060020871;С;Грузятин
0723655404;С;КАЛИНІВКА;UA07080130080040001;С;Калинівка
0723655405;С;КРИНИЧНЕ;UA07080130110016580;С;Криничне
0723655406;С;МАР'ЯНІВКА;UA07080130150046211;С;Мар’янівка
0723655407;С;НОВОУКРАЇНКА;UA07080130180011407;С;Новоукраїнка
0723655408;С;ОСТРОВИ;UA07080130190053847;С;Острови
0723655409;С;РОЗНИЧІ;UA07080130210040080;С;Розничі
0723655410;С;РУДНИКИ;UA07080130220066449;С;Рудники
0723655411;С;СЕМКИ;UA07080130230029679;С;Семки
0723655412;С;СИТНИЦЯ;UA07080130240041472;С;Ситниця
0723655413;С;СТАРОСІЛЛЯ;UA07080130250090917;С;Старосілля
0723655414;С;ЧЕТВЕРТНЯ;UA07080130270040918;С;Четвертня
0723680000;;СІЛЬРАДИ МАНЕВИЦЬКОГО Р-НУ;Розірвано*;;
0723680600;;БУДКІВСЬКА/С.БУДКИ;UA07040050000080830;Н;Маневицька
0723680601;С;БУДКИ;UA07040050030076093;С;Будки
0723680602;С;КАМ'ЯНУХА;UA07040050120020425;С;Кам’януха
0723680603;С;РУДКА;UA07040050280088801;С;Рудка
0723680900;;ВЕЛИКОВЕДМЕЗЬКА/С.ВЕЛИКА ВЕДМЕЖКА;UA07040050000080830;Н;Маневицька
0723680901;С;ВЕЛИКА ВЕДМЕЖКА;UA07040050040056549;С;Велика Ведмежка
0723680902;С;НОВІ ПІДЦАРЕВИЧІ;UA07040050240091970;С;Нові Підцаревичі
0723681100;;ВЕЛИКООСНИЦЬКА/С.ВЕЛИКА ОСНИЦЯ;UA07080130000017070;Н;Колківська
0723681101;С;ВЕЛИКА ОСНИЦЯ;UA07080130030033055;С;Велика Осниця
0723681102;С;ЗАРІЧЧЯ;UA07080130070088735;С;Заріччя
0723681103;С;МАЛА ОСНИЦЯ;UA07080130140057451;С;Мала Осниця
0723681900;;ГОРАЙМІВСЬКА/С.ГОРАЙМІВКА;UA07080130000017070;Н;Колківська
0723681901;С;ГОРАЙМІВКА;UA07080130050097204;С;Гораймівка
0723681902;С;МАЙДАН-ЛИПНЕНСЬКИЙ;UA07080130130024971;С;Майдан-Липненський
0723682200;;ДОВЖИЦЬКА/С.ДОВЖИЦЯ;UA07040050000080830;Н;Маневицька
0723682201;С;ДОВЖИЦЯ;UA07040050100061126;С;Довжиця
0723682202;С;ВЕЛИКА ЯБЛУНЬКА;UA07040050050021789;С;Велика Яблунька
0723682203;С;ГРАДДЯ;UA07040050070091304;С;Граддя
0723682204;С;ЗАГОРІВКА;UA07040050110042599;С;Загорівка
0723682205;С;МАЛА ЯБЛУНЬКА;UA07040050210072579;С;Мала Яблунька
0723683000;;КОМАРІВСЬКА/С.КОМАРОВЕ;UA07040050000080830;Н;Маневицька
